"State Name","District Name","Sub-district name","Village/Town/City Name (Lang = EN)","Lang = HN","Lang = MR"
"Maharashtra ","Yavatmal","Kelapur","Vrindavan Takli","वृंदावन टाकळी","वृंदावन टाकळी"
"Maharashtra ","Yavatmal","Kelapur","Wadhona","वाठोना","वाठोना"
"Maharashtra ","Yavatmal","Kelapur","Wadki","वडकी","वडकी"
"Maharashtra ","Yavatmal","Kelapur","Wadner","वडनेर","वडनेर"
"Maharashtra ","Yavatmal","Kelapur","Wadwat","वडवत","वडवत"
"Maharashtra ","Yavatmal","Kelapur","Wagada","वागडा","वागडा"
"Maharashtra ","Yavatmal","Kelapur","Wagdara","वागदरा","वागदरा"
"Maharashtra ","Yavatmal","Kelapur","Wagholi","वाघोली","वाघोली"
"Maharashtra ","Yavatmal","Kelapur","Wai","वाई","वाई"
"Maharashtra ","Yavatmal","Kelapur","Wani","वणी","वणी"
"Maharashtra ","Yavatmal","Kelapur","Wanjari","वंजारी","वंजारी"
"Maharashtra ","Yavatmal","Kelapur","Wardh","वर्धा","वर्धा"
"Maharashtra ","Yavatmal","Kelapur","Warha","वारहा","वारहा"
"Maharashtra ","Yavatmal","Kelapur","Wathoda","वाठोडा","वाठोडा"
"Maharashtra ","Yavatmal","Kelapur","Wedad","वेडाड","वेडाड"
"Maharashtra ","Yavatmal","Kelapur","Zuli","झुली","झुली"
"Maharashtra ","Yavatmal","Kelapur","Zunzarpur","झुंजारपूर","झुंजारपूर"
